u,v,bank_u,bank_v,opposite_banks,intersects_river_buffer,buffer_m,is_thames_crossing
1000002,1000048,north,north,False,False,75.0,False
1000002,1000063,north,north,False,False,75.0,False
1000002,1000208,north,north,False,False,75.0,False
1000002,1000240,north,north,False,False,75.0,False
1000003,1000138,north,north,False,False,75.0,False
1000003,1000238,north,north,False,False,75.0,False
1000004,1000138,north,north,False,False,75.0,False
1000004,1000238,north,north,False,False,75.0,False
1000004,1000268,north,north,False,False,75.0,False
1000005,1000176,north,north,False,False,75.0,False
1000005,1000228,north,north,False,False,75.0,False
1000007,1000129,north,north,False,False,75.0,False
1000007,1000169,north,north,False,False,75.0,False
1000008,1000109,north,north,False,False,75.0,False
1000008,1000239,north,north,False,False,75.0,False
1000009,1000028,north,north,False,False,75.0,False
1000009,1000210,north,north,False,False,75.0,False
1000010,1000083,north,north,False,False,75.0,False
1000010,1000114,north,north,False,False,75.0,False
1000011,1000025,north,north,False,False,75.0,False
1000011,1000072,north,north,False,False,75.0,False
1000011,1000082,north,north,False,False,75.0,False
1000011,1000091,north,north,False,False,75.0,False
1000011,1000145,north,north,False,False,75.0,False
1000011,1000191,north,north,False,False,75.0,False
1000011,1000222,north,north,False,False,75.0,False
1000012,1000052,south,south,False,False,75.0,False
1000012,1000233,south,south,False,False,75.0,False
1000013,1000138,north,north,False,False,75.0,False
1000013,1000139,north,south,True,True,75.0,True
1000013,1000149,north,north,False,False,75.0,False
1000013,1000202,north,north,False,False,75.0,False
1000013,1000225,north,north,False,False,75.0,False
1000013,1000254,north,south,True,True,75.0,True
1000014,1000080,north,north,False,False,75.0,False
1000014,1000149,north,north,False,False,75.0,False
1000015,1000068,north,north,False,False,75.0,False
1000015,1000244,north,north,False,False,75.0,False
1000015,1001341,north,north,False,False,75.0,False
1000015,1002272,north,north,False,False,75.0,False
1000016,1000079,north,north,False,False,75.0,False
1000016,1000154,north,north,False,False,75.0,False
1000017,1000064,north,north,False,False,75.0,False
1000017,1000096,north,north,False,False,75.0,False
1000017,1000265,north,north,False,False,75.0,False
1000018,1000167,north,north,False,False,75.0,False
1000018,1000174,north,north,False,False,75.0,False
1000019,1000059,north,north,False,False,75.0,False
1000019,1000244,north,north,False,False,75.0,False
1000020,1000043,north,north,False,False,75.0,False
1000020,1000098,north,north,False,False,75.0,False
1000021,1000037,south,south,False,False,75.0,False
1000021,1000139,south,south,False,False,75.0,False
1000022,1000138,north,north,False,False,75.0,False
1000022,1000146,north,north,False,False,75.0,False
1000023,1000143,north,north,False,False,75.0,False
1000023,1000231,north,north,False,False,75.0,False
1000024,1000236,north,north,False,False,75.0,False
1000024,1000249,north,north,False,False,75.0,False
1000024,1001264,north,north,False,False,75.0,False
1000024,1001308,north,north,False,False,75.0,False
1000025,1000093,north,north,False,False,75.0,False
1000025,1000144,north,north,False,False,75.0,False
1000025,1000173,north,north,False,False,75.0,False
1000025,1000235,north,north,False,False,75.0,False
1000025,1001221,north,north,False,False,75.0,False
1000026,1000073,south,south,False,False,75.0,False
1000026,1000139,south,south,False,False,75.0,False
1000027,1000159,north,north,False,False,75.0,False
1000027,1000171,north,north,False,False,75.0,False
1000028,1000275,north,north,False,False,75.0,False
1000029,1000032,north,north,False,False,75.0,False
1000029,1000146,north,north,False,False,75.0,False
1000030,1000087,north,north,False,False,75.0,False
1000030,1000106,north,north,False,False,75.0,False
