u,v,line_ids,modes,directions,route_names,distance_m
1000002,1000048,district,tube,inbound;outbound,branch_10;branch_6,1290.600047168871
1000002,1000063,district;piccadilly,tube,inbound;outbound,branch_1;branch_10;branch_5;branch_6,958.1193977664493
1000002,1000208,piccadilly,tube,inbound;outbound,branch_2;branch_9,1881.1114023639425
1000002,1000240,piccadilly,tube,inbound;outbound,branch_0;branch_8,1996.55808094081
1000003,1000138,circle;metropolitan,tube,inbound;outbound,branch_0;branch_1;branch_14;branch_3,634.0972906914118
1000003,1000238,circle,tube,inbound;outbound,branch_1;branch_3,476.74359221461674
1000004,1000138,hammersmith-city,tube,inbound;outbound,branch_0;branch_1,821.0148542090635
1000004,1000238,district,tube,inbound;outbound,branch_1;branch_12,662.3812771573085
1000004,1000268,district;hammersmith-city,tube,inbound;outbound,branch_0;branch_1;branch_12,971.6738734721063
1000005,1000176,piccadilly,tube,inbound;outbound,branch_1;branch_5,1835.2597928771552
1000005,1000228,piccadilly,tube,inbound;outbound,branch_1;branch_5,1593.1257712912675
1000006,1000042,metropolitan,tube,inbound;outbound,branch_6;branch_8,3318.7051004745713
1000007,1000129,northern,tube,inbound;outbound,branch_13;branch_6,1239.6831734528178
1000007,1000169,northern,tube,inbound;outbound,branch_13;branch_6,1433.5174998430455
1000008,1000109,northern,tube,inbound;outbound,branch_17;branch_9,1559.8567705051798
1000008,1000239,northern,tube,inbound;outbound,branch_17;branch_9,985.7155032750215
1000009,1000028,piccadilly,tube,inbound;outbound,branch_0;branch_8,1209.1220617720685
1000009,1000210,piccadilly,tube,inbound;outbound,branch_0;branch_8,1813.2371627623668
1000010,1000083,piccadilly,tube,inbound;outbound,branch_0;branch_8,635.374461400254
1000010,1000114,piccadilly,tube,inbound;outbound,branch_0;branch_8,775.3395910659285
1000011,1000025,jubilee,tube,inbound;outbound,branch_0;branch_1,1102.1026641966557
1000011,1000072,circle;hammersmith-city,tube,inbound;outbound,branch_0;branch_1;branch_3,807.7294698459413
1000011,1000082,metropolitan,tube,inbound;outbound,branch_0;branch_14,3102.2069037210686
1000011,1000091,circle;hammersmith-city;metropolitan,tube,inbound;outbound,branch_0;branch_1;branch_14;branch_3,903.8953527152437
1000011,1000145,bakerloo,tube,inbound;outbound,branch_0;branch_1,425.7520293709511
1000011,1000191,bakerloo,tube,inbound;outbound,branch_0;branch_1,740.659127030398
